tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30, te band 31, te band 32, te band 33, te band 34, te band 35, te band 36, te band 37, te band 38, te band 39, te band 40, te band 41, te band 42, te band 43, te band 44, te band 45, te band 46, te band 47, te band 48, te band 49, te band 50
tefreqs:, 1, 0, 0, 0, 0, 0, 0.0837323, 0.0868139, 0.0868209, 0.0907311, 0.0907316, 0.0930655, 0.146431, 0.146432, 0.148722, 0.148723, 0.154283, 0.154284, 0.169841, 0.171472, 0.171481, 0.172699, 0.172948, 0.172949, 0.203364, 0.203364, 0.207125, 0.207125, 0.208466, 0.208467, 0.228684, 0.228688, 0.255694, 0.255695, 0.256152, 0.256158, 0.257131, 0.270801, 0.270801, 0.295565, 0.295574, 0.300795, 0.301604, 0.301618, 0.314759, 0.314759, 0.324958, 0.324961, 0.326713, 0.326714, 0.328085, 0.329502, 0.329508, 0.330565, 0.330991
tefreqs:, 2, 0, 0.1, 0, 0.023094, 0.0088198, 0.0785539, 0.0843398, 0.0843496, 0.0938372, 0.0938594, 0.098189, 0.143874, 0.146539, 0.14654, 0.143848, 0.159155, 0.159187, 0.163884, 0.168986, 0.169032, 0.175699, 0.175751, 0.178161, 0.202668, 0.202628, 0.205997, 0.206016, 0.208516, 0.20853, 0.228944, 0.228965, 0.256172, 0.256445, 0.256462, 0.256182, 0.2563, 0.270798, 0.270802, 0.295495, 0.295713, 0.301924, 0.302023, 0.302264, 0.313294, 0.313169, 0.322203, 0.322396, 0.326125, 0.32632, 0.32794, 0.3292, 0.329372, 0.329996, 0.330107
tefreqs:, 3, 0, 0.2, 0, 0.046188, 0.0176242, 0.0704134, 0.0812796, 0.0812902, 0.0988256, 0.0988533, 0.106157, 0.13708, 0.146836, 0.146838, 0.137055, 0.156387, 0.166022, 0.166058, 0.166324, 0.16636, 0.179307, 0.179364, 0.184097, 0.200738, 0.200673, 0.202875, 0.202907, 0.208617, 0.208632, 0.229609, 0.229639, 0.256228, 0.258403, 0.258431, 0.254178, 0.256239, 0.270794, 0.270802, 0.295671, 0.29601, 0.303383, 0.303762, 0.305007, 0.310159, 0.309958, 0.31751, 0.317671, 0.323125, 0.323471, 0.327416, 0.328803, 0.32892, 0.333576, 0.333583
tefreqs:, 4, 0, 0.3, 0, 0.069282, 0.0263842, 0.0619165, 0.0789324, 0.0789421, 0.104388, 0.10442, 0.114325, 0.130221, 0.130243, 0.147238, 0.147239, 0.148684, 0.164188, 0.164213, 0.172972, 0.173011, 0.183077, 0.18314, 0.188966, 0.197952, 0.197876, 0.198279, 0.198318, 0.208694, 0.208705, 0.230378, 0.230407, 0.251628, 0.2563, 0.25631, 0.260817, 0.260845, 0.27079, 0.270799, 0.296306, 0.296681, 0.305366, 0.305782, 0.306826, 0.309349, 0.306563, 0.313263, 0.313378, 0.319727, 0.320107, 0.326207, 0.328663, 0.328736, 0.330568, 0.33806
tefreqs:, 5, 0, 0.4, 0, 0.092376, 0.0349865, 0.0534363, 0.0774752, 0.0774836, 0.110305, 0.11034, 0.12216, 0.123553, 0.123573, 0.147596, 0.14114, 0.147596, 0.162779, 0.162789, 0.1798, 0.179841, 0.186885, 0.186951, 0.192239, 0.194649, 0.192712, 0.192754, 0.19457, 0.208738, 0.208743, 0.230966, 0.230986, 0.249583, 0.25636, 0.256366, 0.262803, 0.262819, 0.270787, 0.270793, 0.297418, 0.297745, 0.303656, 0.303887, 0.307574, 0.307966, 0.310308, 0.310368, 0.314186, 0.316735, 0.317056, 0.32382, 0.328594, 0.32863, 0.330569, 0.338958
tefreqs:, 6, 0, 0.5, 0, 0.11547, 0.0413968, 0.0470629, 0.0769831, 0.0769897, 0.115298, 0.115306, 0.11833, 0.118343, 0.127102, 0.147744, 0.136296, 0.147742, 0.162281, 0.162285, 0.185735, 0.185736, 0.187215, 0.187215, 0.189967, 0.189971, 0.19171, 0.191715, 0.193407, 0.208753, 0.208753, 0.231188, 0.231194, 0.248798, 0.256386, 0.256388, 0.26358, 0.26358, 0.270786, 0.27079, 0.29837, 0.298394, 0.302334, 0.302346, 0.308955, 0.309001, 0.309254, 0.309257, 0.315398, 0.315425, 0.317683, 0.321201, 0.328584, 0.328584, 0.330571, 0.337818
tefreqs:, 7, -0.0666667, 0.466667, 0, 0.116237, 0.04175, 0.0473206, 0.071996, 0.0819435, 0.111798, 0.115402, 0.118911, 0.12139, 0.127209, 0.136382, 0.143789, 0.151647, 0.157711, 0.166778, 0.183881, 0.185474, 0.187653, 0.187759, 0.189029, 0.191909, 0.189796, 0.193142, 0.193475, 0.205959, 0.211548, 0.230432, 0.231974, 0.24883, 0.254919, 0.257785, 0.262917, 0.264211, 0.267093, 0.274488, 0.297959, 0.299067, 0.302358, 0.30274, 0.306418, 0.311729, 0.308485, 0.310093, 0.31254, 0.317154, 0.318446, 0.321229, 0.325551, 0.330078, 0.331697, 0.338861
tefreqs:, 8, -0.133333, 0.433333, 0, 0.118509, 0.0427919, 0.0480852, 0.0669721, 0.0868682, 0.108418, 0.112603, 0.122606, 0.124546, 0.12753, 0.13664, 0.139798, 0.153074, 0.155483, 0.171184, 0.182103, 0.183816, 0.185335, 0.187572, 0.18962, 0.190904, 0.193514, 0.193678, 0.193786, 0.203462, 0.214126, 0.229709, 0.232839, 0.248929, 0.253477, 0.259022, 0.262244, 0.263383, 0.264817, 0.278178, 0.297904, 0.299772, 0.302684, 0.303588, 0.304291, 0.314581, 0.30779, 0.309948, 0.310991, 0.315645, 0.321319, 0.321571, 0.322626, 0.329223, 0.334866, 0.341299
tefreqs:, 9, -0.2, 0.4, 0, 0.122202, 0.0444734, 0.049332, 0.0619207, 0.0917543, 0.105175, 0.109944, 0.126378, 0.127803, 0.128064, 0.137069, 0.135774, 0.148383, 0.159228, 0.175478, 0.180412, 0.18225, 0.182743, 0.185144, 0.19162, 0.192826, 0.193209, 0.194017, 0.194747, 0.20164, 0.216284, 0.229074, 0.233921, 0.249096, 0.252155, 0.260026, 0.259728, 0.261579, 0.265305, 0.281845, 0.29826, 0.299649, 0.302932, 0.303499, 0.304874, 0.307184, 0.307925, 0.311945, 0.313343, 0.317524, 0.319839, 0.32147, 0.324757, 0.328596, 0.338067, 0.344352
tefreqs:, 10, -0.266667, 0.366667, 0, 0.127192, 0.0467245, 0.0510239, 0.0568441, 0.0965992, 0.102086, 0.107436, 0.128807, 0.130214, 0.131152, 0.137668, 0.131725, 0.143648, 0.162833, 0.178819, 0.179633, 0.180022, 0.180785, 0.182581, 0.193638, 0.194776, 0.191402, 0.194488, 0.195526, 0.200506, 0.21783, 0.228601, 0.235387, 0.249328, 0.251039, 0.260745, 0.256093, 0.260935, 0.265686, 0.285467, 0.298178, 0.299054, 0.302611, 0.304195, 0.306572, 0.306685, 0.307324, 0.310496, 0.312951, 0.317224, 0.320535, 0.321681, 0.327951, 0.32827, 0.341276, 0.347694
